value_id,label,feature,canonical_order
prs,present,tense-aspect,1
iprf,imperfect,tense-aspect,2
fut,future,tense-aspect,3
prf,perfect,tense-aspect,4
pprf,pluperfect,tense-aspect,5
fprf,future perfect,tense-aspect,6
act,active,voice,1
pass,passive,voice,2
ind,indicative,mood,1
sbjv,subjunctive,mood,2
imp,imperative,mood,3
inf,infinitive,verbform,1
ptcp,participle,verbform,2
sup,supine,verbform,3
ger,gerund,verbform,4
gdv,gerundive,verbform,5
1,first,person,1
2,second,person,2
3,third,person,3
sg,singular,number,1
pl,plural,number,2
m,masculine,gender,1
f,feminine,gender,2
n,neuter,gender,3
nom,nominative,case,1
gen,genitive,case,2
dat,dative,case,3
acc,accusative,case,4
voc,vocative,case,5
abl,ablative,case,6
