lexeme_id,POS,frequency,frequency_Antiquitas,frequency_AetasPatrum,frequency_MediumAeuum,frequency_RecentiorLatinitas
abalieno_v,verb,393,101,176,113,3
abdico_v,verb,2256,773,760,683,40
abdo_v,verb,4850,971,2111,1644,124
abduco_v,verb,3194,937,1057,1116,84
abeo_v,verb,6626,1723,1466,3229,208
aberro_v,verb,904,69,415,314,106
abhorreo_v,verb,2638,438,477,1536,187
abicio_v,verb,13232,1398,5223,6333,278
abigo_v,verb,1198,352,321,484,41
abiudico_v,verb,160,25,7,106,22
abiungo_v,verb,101,22,67,12,0
abiuro_v,verb,396,16,147,231,2
ablego_v,verb,235,96,64,50,25
abluo_v,verb,5295,200,2185,2861,49
abnego_v,verb,2737,15,956,1687,79
abnocto_v,verb,8,3,5,0,0
abnuo_v,verb,1406,433,559,396,18
aboleo_v,verb,3098,298,1479,1257,64
abominor/-o_v,verb,1516,175,708,608,25
abrado_v,verb,420,44,97,244,35
abripio_v,verb,954,265,403,124,162
abrogo_v,verb,930,291,287,251,101
abrumpo_v,verb,2863,957,1178,616,112
abscedo_v,verb,1885,230,988,640,27
abscido_v,verb,3852,700,1699,1449,4
abscindo_v,verb,1678,142,514,799,223
abscondo/-or_v,verb,27435,419,11025,15794,197
absisto_v,verb,375,128,90,157,0
absoluo_v,verb,27656,1736,5631,17134,3155
absorbeo_v,verb,3514,59,1322,2061,72
abstergeo_v,verb,887,94,276,498,19
absterreo_v,verb,169,65,11,70,23
abstineo_v,verb,12653,981,4884,6431,357
abstraho_v,verb,11135,193,777,7911,2254
abstrudo_v,verb,679,171,322,117,69
absum_v,verb,7599,1613,3158,2461,367
absumo_v,verb,2429,741,905,655,128
abundo_v,verb,15970,928,7031,7744,267
abutor_v,verb,3262,186,881,1996,199
accedo_v,verb,33203,3045,10784,18049,1325
accelero_v,verb,1868,42,290,984,552
accendo_v,verb,12696,2038,4048,6347,263
accepto_v,verb,6066,480,1999,3447,140
acci'do_v,verb,91696,2395,10340,74227,4734
"acci\do""_v",verb,91778,2459,10357,74228,4734
accingo_v,verb,3430,160,1399,1805,66
accio_v,verb,2177,696,549,932,0
accipio_v,verb,152516,10679,61710,78000,2127
acclamo_v,verb,732,20,150,558,4
accognosco_v,verb,2,2,0,0,0
accolo_v,verb,227,118,80,25,4
accommodo_v,verb,3738,743,988,1172,835
accresco_v,verb,1006,24,100,868,14
accubo_v,verb,609,176,158,274,1
accumbo_v,verb,1035,141,240,638,16
accumulo_v,verb,706,39,181,427,59
accurro_v,verb,1075,113,120,804,38
accusator_n,noun,4065,1193,1673,1185,14
accuso_v,verb,15551,2648,6626,6091,186
aceruo_v,verb,245,78,79,80,8
acies_n,noun,13454,5021,3776,4475,182
acquiesco_v,verb,2420,35,430,1720,235
acquiro_v,verb,12359,49,1060,10135,1115
actio_n,noun,36249,1668,12615,17877,4089
actito_v,verb,595,19,204,341,31
actum_n,noun,34417,3402,6208,23768,1039
actus_n,noun,128758,1589,15020,107942,4207
acuo_v,verb,11505,2125,3296,5564,520
adaequo_v,verb,2219,58,306,1076,779
adamo_v,verb,1196,186,447,472,91
adaperio_v,verb,880,167,344,346,23
adaugeo_v,verb,658,79,63,460,56
addecet_v,verb,19,19,0,0,0
addico_v,verb,3393,409,1643,1131,210
addo_v,verb,37576,5814,14661,15550,1551
addubito_v,verb,93,48,32,13,0
adduco_v,verb,12601,2150,4013,5839,599
adedo_v,verb,160,104,23,32,1
adeo_v,verb,21591,4041,6599,7785,3166
adequito_v,verb,50,24,14,12,0
adhaereo_v,verb,7878,415,2726,4328,409
adhaeresco_v,verb,1279,148,513,575,43
adhibeo_v,verb,16669,2761,6052,6208,1648
adhortor_v,verb,956,262,251,440,3
adiaceo_v,verb,2966,133,797,1793,243
adicio_v,verb,15186,3932,7211,3705,338
adigo_v,verb,1267,572,372,264,59
adimo_v,verb,4374,1347,2154,722,151
adipiscor_v,verb,10152,976,3251,5640,285
aditus_n,noun,6675,1846,2290,2267,272
adiudico_v,verb,852,55,402,380,15
adiungo_v,verb,15681,1468,6243,7018,952
adiuro_v,verb,1266,77,406,776,7
adiuuo_v,verb,15651,1656,7051,6526,418
admaturo_v,verb,1,1,0,0,0
admetior_v,verb,79,10,68,0,1
administro_v,verb,5253,858,2088,1948,359
admiratio_n,noun,2977,425,723,1531,298
admiror/-o_v,verb,10608,1007,2763,6462,376
admisceo_v,verb,3765,983,1011,1528,243
admitto_v,verb,16511,1582,7465,6271,1193
admoneo_v,verb,11791,1164,6606,3773,248
admonitio_n,noun,2064,111,641,1274,38
admordeo_v,verb,25,19,6,0,0
admoueo_v,verb,3999,1909,1161,656,273
adnato_v,verb,44,30,3,11,0
adnecto_v,verb,1320,273,464,579,4
adnitor_v,verb,712,179,354,140,39
adnoto_v,verb,1018,193,457,294,74
adnumero_v,verb,734,151,458,106,19
adnuntio_v,verb,3182,26,2732,422,2
adnuo_v,verb,608,209,369,30,0
adoleo_v,verb,4467,506,1388,2374,199
adolesco1_v,verb,12717,759,3067,8225,666
adolesco2_v,verb,12717,759,3067,8225,666
