lexeme,PoSTag:features,form,form_IPA,freqTFTL,freqAntiquitas,freqAetasPatrum,freqMediumAeuum,freqRecentiorLatinitas
accusator,NOUN:Nom+Sing,accūsātor,akkuːsaːtor,849,225,368,255,1
accusator,NOUN:Gen+Sing,accūsātōris,akkuːsaːtoːris,219,99,79,38,3
accusator,NOUN:Dat+Sing,accūsātōrī,akkuːsaːtoːriː,111,58,37,14,2
accusator,NOUN:Acc+Sing,accūsātōrem,akkuːsaːtoːrem,230,92,91,46,1
accusator,NOUN:Voc+Sing,accūsātor,akkuːsaːtor,849,225,368,255,1
accusator,NOUN:Abl+Sing,accūsātōre,akkuːsaːtoːre,182,90,53,37,2
accusator,NOUN:Nom+Plur,accūsātōrēs,akkuːsaːtoːreːs,396,90,165,141,0
accusator,NOUN:Gen+Plur,accūsātōrum,akkuːsaːtoːrum,115,44,38,33,0
accusator,NOUN:Dat+Plur,accūsātōribus,akkuːsaːtoːribus,161,45,72,42,2
accusator,NOUN:Acc+Plur,accūsātōrēs,akkuːsaːtoːreːs,396,90,165,141,0
accusator,NOUN:Voc+Plur,accūsātōrēs,akkuːsaːtoːreːs,396,90,165,141,0
accusator,NOUN:Abl+Plur,accūsātōribus,akkuːsaːtoːribus,161,45,72,42,2
acies,NOUN:Nom+Sing,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Gen+Sing,aciēī,akieːiː,33,6,6,20,1
acies,NOUN:Dat+Sing,aciēī,akieːiː,33,6,6,20,1
acies,NOUN:Acc+Sing,aciem,akiem,1730,830,496,365,39
acies,NOUN:Voc+Sing,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Abl+Sing,aciē,akieː,1674,764,489,395,26
acies,NOUN:Nom+Plur,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Gen+Plur,aciērum,akieːrum,13,0,0,13,0
acies,NOUN:Dat+Plur,aciēbus,akieːbus,63,0,2,61,0
acies,NOUN:Acc+Plur,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Voc+Plur,aciēs,akieːs,1969,683,555,708,23
acies,NOUN:Abl+Plur,aciēbus,akieːbus,63,0,2,61,0
actio,NOUN:Nom+Sing,āctio,aːktio,6218,287,2264,3122,545
actio,NOUN:Gen+Sing,āctiōnis,aːktioːnis,2356,103,643,1428,182
actio,NOUN:Dat+Sing,āctiōnī,aːktioːniː,311,22,83,175,31
actio,NOUN:Acc+Sing,āctiōnem,aːktioːnem,4669,157,2013,2165,334
actio,NOUN:Voc+Sing,āctio,aːktio,6218,287,2264,3122,545
actio,NOUN:Abl+Sing,āctiōne,aːktioːne,4029,183,1710,1838,298
actio,NOUN:Nom+Plur,āctiōnēs,aːktioːneːs,3081,138,878,1552,513
actio,NOUN:Gen+Plur,āctiōnum,aːktioːnum,837,37,184,395,221
actio,NOUN:Dat+Plur,āctiōnibus,aːktioːnibus,1184,89,410,488,197
actio,NOUN:Acc+Plur,āctiōnēs,aːktioːneːs,3081,138,878,1552,513
actio,NOUN:Voc+Plur,āctiōnēs,aːktioːneːs,3081,138,878,1552,513
actio,NOUN:Abl+Plur,āctiōnibus,aːktioːnibus,1184,89,410,488,197
actum,NOUN:Nom+Sing,āctum,aːktum,8950,428,1033,7221,268
