sound_id,consonantal,stress,sonorant,approximant,voice,spread_glottis,continuant,nasal,lateral,labial,labiodental,coronal,dorsal,high,low,front,back,long,round
b,1,,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,-1,-1
d,1,,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1
ɡ,1,,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,1,-1,-1
m,1,,1,0,1,0,0,1,0,1,0,0,0,0,0,-1,0,-1,-1
n,1,,1,0,1,0,0,1,0,0,0,1,0,0,0,-1,0,-1,-1
l,1,,1,1,1,0,1,0,1,0,0,1,0,0,0,-1,0,-1,-1
r,1,,1,1,1,0,1,0,0,0,0,1,0,0,0,-1,0,-1,-1
z,1,,0,0,1,0,1,0,0,0,0,1,0,0,0,-1,0,-1,-1
p,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,-1
pʰ,1,,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,0,-1,-1
f,1,,0,0,0,0,1,0,0,1,1,0,0,0,0,-1,0,-1,-1
t,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1
tʰ,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,-1,-1
s,1,,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,-1,-1
k,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,-1,-1
kʰ,1,,0,0,0,1,0,0,0,0,0,0,1,1,0,-1,1,-1,-1
h,1,,0,0,0,1,1,0,0,0,0,0,0,-1,0,-1,0,-1,-1
j,0,,1,1,1,0,1,0,0,0,0,0,1,1,0,-1,0,-1,-1
w,0,,1,1,1,0,1,0,0,1,0,0,1,1,0,-1,1,-1,-1
a,0,0,1,0,1,0,1,0,0,0,0,-1,1,0,1,0,1,0,0
aː,0,0,1,0,1,0,1,0,0,0,0,-1,1,0,1,0,1,1,0
e,0,0,1,0,1,0,1,0,0,0,0,-1,1,0,0,1,0,0,0
eː,0,0,1,0,1,0,1,0,0,0,0,-1,1,0,0,1,0,1,0
i,0,0,1,0,1,0,1,0,0,0,0,-1,1,1,0,1,0,0,0
iː,0,0,1,0,1,0,1,0,0,0,0,-1,1,1,0,1,0,1,0
o,0,0,1,0,1,0,1,0,0,1,0,-1,1,0,0,0,1,0,1
oː,0,0,1,0,1,0,1,0,0,1,0,-1,1,0,0,0,1,1,1
u,0,0,1,0,1,0,1,0,0,1,0,-1,1,1,0,0,1,0,1
uː,0,0,1,0,1,0,1,0,0,1,0,-1,1,1,0,0,1,1,1
y,0,0,1,0,1,0,1,0,0,1,0,-1,1,1,0,1,0,0,1
yː,0,0,1,0,1,0,1,0,0,1,0,-1,1,1,0,1,0,1,1
ˈa,0,1,1,0,1,0,1,0,0,0,0,-1,1,0,1,0,1,0,0
ˈaː,0,1,1,0,1,0,1,0,0,0,0,-1,1,0,1,0,1,1,0
ˈe,0,1,1,0,1,0,1,0,0,0,0,-1,1,0,0,1,0,0,0
ˈeː,0,1,1,0,1,0,1,0,0,0,0,-1,1,0,0,1,0,1,0
ˈi,0,1,1,0,1,0,1,0,0,0,0,-1,1,1,0,1,0,0,0
ˈiː,0,1,1,0,1,0,1,0,0,0,0,-1,1,1,0,1,0,1,0
ˈo,0,1,1,0,1,0,1,0,0,1,0,-1,1,0,0,0,1,0,1
ˈoː,0,1,1,0,1,0,1,0,0,1,0,-1,1,0,0,0,1,1,1
ˈu,0,1,1,0,1,0,1,0,0,1,0,-1,1,1,0,0,1,0,1
ˈuː,0,1,1,0,1,0,1,0,0,1,0,-1,1,1,0,0,1,1,1
ˈy,0,1,1,0,1,0,1,0,0,1,0,-1,1,1,0,1,0,0,1
ˈyː,0,1,1,0,1,0,1,0,0,1,0,-1,1,1,0,1,0,1,1
