lexeme	systematicDefectiveness
accusator	none
acies	none
actio	none
actum	none
actus	none
aditus	none
admiratio	none
admonitio	none
aduentus	none
adulatio	none
adulescentia	none
adulter	none
adulterium	none
aedes	none
aedificium	none
aeger	none
aequor	none
aequum	none
aer	none
aerumna	none
aes	none
aestas	none
aestus	none
aetas	none
aether	none
aeuum	none
affectus	none
ager	none
agger	none
agmen	none
agricola	none
ala	none
ales	none
alienum	none
alimentum	none
altitudo	none
altum	none
alueus	none
ambitio	none
ambitus	none
amica	none
amicitia	none
amictus	none
amicus	none
amnis	none
amor	none
anguis	none
angulus	none
angustia	none
anima	none
animal	none
animus	none
annus	none
antiqui	plurale tantum
antrum	none
anus	none
aper	none
apertum	none
apis	none
apparatus	none
aqua	none
aquila	none
ara	none
aratrum	none
arbiter	none
arbitrium	none
arbor	none
arcus	none
ardor	none
argentum	none
argumentum	none
arma	none
armentum	none
ars	none
artifex	none
artus	none
aruum	none
arx	none
aspectus	none
assum	none
astrum	none
auaritia	none
auctor	none
auctoritas	none
audacia	none
auis	none
aula	none
aura	none
auris	none
aurum	none
auspicium	none
auster	none
autumnus	none
auus	none
auxilium	none
axis	none
balneum	none
barba	none
barbarus	none
bellum	none
belua	none
beneficium	none
bonum	none
bos	none
bracchium	none
cacumen	none
cadauer	none
caedes	none
caelum	none
calamitas	none
caligo	none
calor	none
campus	none
canis	none
cantus	none
capillus	none
captiuus	none
caput	none
carcer	none
cardo	none
carina	none
caritas	none
carmen	none
carnifex	none
castellum	none
castrum	none
casus	none
catena	none
caterua	none
causa	none
celeritas	none
cena	none
census	none
centrum	none
centurio	none
certamen	none
ceruix	none
chorus	none
cibus	none
cinis	none
ciuis	none
ciuitas	none
clades	none
clamor	none
claritudo	none
classis	none
claustrum	none
clementia	none
clipeus	none
coetus	none
cogitatio	none
cognitio	none
cohors	none
collega	none
collis	none
colloquium	none
collum	none
colonia	none
colonus	none
color	none
columna	none
coma	none
comes	none
comitatus	none
comitium	none
commeatus	none
commercium	none
commodum	none
complexus	none
conatus	none
concilium	none
concordia	none
concursus	none
condicio	none
coniugium	none
coniuratio	none
conscientia	none
consensus	none
consilium	none
conspectus	none
constantia	none
constitutio	none
consuetudo	none
consul	none
consulatus	none
consultum	none
contemplatio	none
contemptus	none
contentio	none
contio	none
contrarium	none
controuersia	none
contumelia	none
conubium	none
conuicium	none
conuiua	none
conuiuium	none
copia	none
cor	none
cornu	none
corona	none
corpus	none
crassitudo	none
crimen	none
crinis	none
cruciatus	none
crudelitas	none
cruor	none
crus	none
crux	none
cubiculum	none
cubile	none
culpa	none
cultor	none
cultus	none
cunctatio	none
cuneus	none
cupiditas	none
cupido	none
cura	none
curia	none
currus	none
cursus	none
custodia	none
custos	none
damnum	none
daps	none
dea	none
decor	none
decretum	none
decus	none
dedecus	none
deditio	none
defectio	none
defensio	none
delicia	none
delictum	none
delubrum	none
dementia	none
dens	none
desiderium	none
desperatio	none
detrimentum	none
deus	none
dextera	none
dicio	none
dictator	none
dictum	none
dies	none
difficultas	none
digitus	none
dignitas	none
dilectus	none
diligentia	none
disciplina	none
discordia	none
discrimen	none
disputatio	none
diuinum	none
diuitiae	plurale tantum
diuus	none
dolor	none
dolus	none
domina	none
dominatio	none
dominus	none
domus1	None
domus2	none
donum	none
dos	none
dux	none
ebrietas	none
ebur	none
effectus	none
effigies	none
egestas	none
elephantus	none
eloquentia	none
ensis	none
epistula	none
epulae	plurale tantum
eques	none
equitatus	none
equus	none
error	none
eruptio	none
euentus	none
exemplar	none
exemplum	none
exercitatio	none
exercitus	none
exilium	none
exitium	none
exitus	none
explorator	none
exspectatio	none
exul	none
fabula	none
facies	none
facilitas	none
facinus	none
factum	none
facultas	none
falsum	none
falx	none
fama	none
fames	none
familia	none
famulus	none
fascis	none
fastidium	none
fastigium	none
fatum	none
fauor	none
faux	none
fax	none
felicitas	none
femina	none
fera	none
ferrum	none
fetus	none
fides	none
fiducia	none
figura	none
filia	none
filius	none
finis	none
finitimi	plurale tantum
flagellum	none
flagitium	none
flamma	none
fletus	none
flos	none
fluctus	none
flumen	none
fluuius	none
focus	none
foedus	none
folium	none
fons	none
foramen	none
foris	none
forma	none
formido	none
fors	none
fortitudo	none
fortuna	none
forum	none
fossa	none
fragor	none
frater	none
fraus	none
fremitus	none
frenum	none
fretum	none
frigus	none
frons1	none
frons2	none
fructus	none
frumentum	none
frux	none
fuga	none
fulgor	none
fulmen	none
fumus	none
fundamentum	none
funis	none
funus	none
furor	none
furtum	none
galea	none
gaudium	none
gemitus	none
gemma	none
gena	none
gener	none
genitor	none
gens	none
genu	none
genus	none
gladiator	none
gladius	none
gloria	none
gradus	none
gramen	none
grates	plurale tantum
gratia	none
grauitas	none
gremium	none
gressus	none
grex	none
gubernator	none
gurges	none
habena	none
habitus	none
harena	none
hasta	none
herba	none
heres	none
heros	none
hibernum	none
hiems	none
hom	none
honestum	none
honor	none
hora	none
hortus	none
hospes	none
hospitium	none
hostia	none
hostis	none
humanitas	none
humerus	none
humor	none
humus	none
iactura	none
iactus	none
ianua	none
ictus	none
ignauia	none
ignis	none
ignominia	none
imago	none
imber	none
impedimentum	none
imperator	none
imperium	none
impetus	none
incendium	none
inceptum	none
incertum	none
incola	none
incommodum	none
incrementum	none
index	none
indicium	none
indoles	none
indulgentia	none
industria	none
inertia	none
infamia	none
inferi	plurale tantum
ingenium	none
iniquitas	none
initium	none
iniuria	none
innocentia	none
inopia	none
insania	none
