lexeme	systematicDefectiveness
abalieno	none
abdico	none
abdo	none
abduco	none
abeo	intransitive
aberro	intransitive
abhorreo	none
abicio	none
abigo	none
abiudico	none
abiungo	none
abiuro	none
ablego	none
abluo	none
abnego	none
abnocto	intransitive
abnuo	none
aboleo	none
abominor/-o	none
abrado	none
abripio	none
abrogo	none
abrumpo	none
abscedo	intransitive
abscido	none
abscindo	none
abscondo/-or	none
absisto	intransitive
absoluo	none
absorbeo	none
abstergeo	none
absterreo	none
abstineo	none
abstraho	none
abstrudo	none
absum	sum
absumo	none
abundo	none
abutor	deponent
accedo	none
accelero	none
accendo	none
accepto	none
acci\do"	none
acci'do	none
accingo	none
accio	none
accipio	none
acclamo	none
accognosco	none
accolo	none
accommodo	none
accresco	intransitive
accubo	none
accumbo	none
accumulo	none
accurro	none
accuso	none
aceruo	none
acquiesco	intransitive
acquiro	none
actito	none
acuo	none
adaequo	none
adamo	none
adaperio	none
adaugeo	none
addecet	impersonal
addico	none
addo	none
addubito	none
adduco	none
adedo	none
adeo	none
adequito	intransitive
adhaereo	intransitive
adhaeresco	intransitive
adhibeo	none
adhortor	deponent
adiaceo	none
adicio	none
adigo	none
adimo	none
adipiscor	deponent
adiudico	none
adiungo	none
adiuro	none
adiuuo	none
admaturo	none
admetior	deponent
administro	none
admiror/-o	none
admisceo	none
admitto	none
admoneo	none
admordeo	none
admoueo	none
adnato	none
adnecto	none
adnitor	deponent
adnoto	none
adnumero	none
adnuntio	none
adnuo	none
adoleo	none
adolesco1	intransitive
adolesco2	intransitive
adoperio	none
adopto	none
adorior/-io	none
adorno	none
adoro	none
adrado	none
aduecto	none
adueho	none
aduelo	none
aduenio	intransitive
aduento	intransitive
aduersor	deponent
aduerto	none
aduesperascit	impersonal
aduigilo	intransitive
adulo/-or	none
adumbro	none
aduoco	none
aduolo	none
aduoluo	none
adurgeo	none
aduro	none
aedifico	none
aegresco	intransitive
aegroto	intransitive
aemulor/-o	none
aequipero	none
aequo	none
aestimo	none
aestuo/-or	none
aeterno	none
affecto/-or	none
affero	none
afficio	none
affigo	none
affingo	none
affirmo	none
afflicto	none
affligo	none
afflo	none
affluo	intransitive
affor	deponent
affrico	none
affulgeo	intransitive
affundo	none
aggero1	none
aggero2	none
agglomero	none
agglutino	none
aggrauo	none
aggredior/-io	none
aggrego	none
agito	none
agnosco	none
ago	none
aio	aio
albeo	intransitive
albesco	intransitive
albico/-or	none
algeo	none
alieno	none
allabor	deponent
allaboro	none
allego1	none
allego2	none
alle'uo	none
allicefacio	none
allicio	none
allido	none
alligo	none
allino	none
alloquor	deponent
alluceo	none
alludo	none
alluo	none
alo	none
altercor/-o	none
alterno	none
ambedo	none
ambigo	none
ambio	none
ambulo	none
amburo	none
amicio	none
amitto	none
amo	none
amolior	deponent
amoueo	none
amplector/-o	none
amplexor/-o	none
amplifico	none
amputo	none
ango	none
angusto	none
anhelo	none
animaduerto	none
animo	none
anno	intransitive
anquiro	none
antecapio	none
antecedo	none
antecello	none
antecurro	none
anteeo	none
antefero	none
antehabeo	none
antepono	none
antesto	intransitive
anteuenio	none
anteuerto/-or	none
anticipo	none
aperio	none
apiscor	deponent
apologo	none
appareo	intransitive
apparo	none
appellito	none
appello1	none
appello2	none
appendo	none
appeto	none
applaudo	none
applico	none
appono	none
apporto	none
apprecor	deponent
apprehendo	none
apprimo	none
approbo	none
appropero	none
appropinquo	intransitive
appugno	none
apto	none
aquor	deponent
arbitror/-o	none
arceo	none
arcesso	none
architecto/-or	none
ardeo	none
ardesco	none
areo	intransitive
aresco	intransitive
argumentor	deponent
arguo	none
arguto/-or	none
arieto	none
armo	none
aro	none
arrepo	intransitive
arrideo	none
arrigo	none
arripio	none
arrodo	none
arrogo	none
arto	none
ascendo	none
ascisco	none
ascribo	none
aspecto	none
aspergo	none
aspernor	deponent
aspero	none
aspicio	none
aspiro	none
asporto	none
assector	deponent
assentio/-ior	none
assentor	deponent
assequor	deponent
assero1	none
assero2	none
asseruo	none
asseuero	none
assicco	none
assideo	none
assido	intransitive
assigno	none
assilio	none
assimulo	none
assisto	none
assoleo	intransitive
assono	none
assuefacio	none
assuesco	none
assulto	none
assumo	none
assurgo	intransitive
asto	intransitive
astrepo	none
astringo	none
astruo	none
astupeo	intransitive
attempero	none
attempto	none
attendo	none
attenuo	none
attero	none
attexo	none
attineo	none
attingo	none
attollo	none
attondeo	none
attono	none
attraho	none
attrecto	none
attribuo	none
auctito	none
aucto	none
aucupor/-o	none
audeo	none
audio	none
aueho	none
auello	none
aueo	none
auersor	deponent
auerto	none
aufero	none
augeo	none
augesco	intransitive
auguro/-or	none
auoco	none
auolo	intransitive
ausculto	none
auspicor/-o	none
autumo	none
auxilior/-o	none
ba\lo"	intransitive
bacchor/-o	none
basio	none
belligero/-or	none
bello/-or	none
benedico	none
benefacio	none
beo	none
bibo	none
blandior/-io	none
bullio	intransitive
cachinno	none
caco	none
cado	intransitive
caeco	none
caedo	none
calco	none
calefio	fio
caleo	intransitive
calesco	intransitive
caligo	none
calleo	none
calo	none
calumnior/-o	none
candeo	intransitive
candesco	intransitive
caneo	intransitive
canesco	intransitive
cano	none
canto	none
capesso	none
capio	none
capto/-or	none
careo	none
carpo	none
castigo	none
castro	none
cateno	none
caueo	none
cauillor/-o	none
cauo	none
causor/-o	none
cedo	none
celebro	none
celero	none
celo	none
ceno/-or	none
censeo	none
centurio	none
cerno	none
cernulo	none
cero	none
certo/-or	none
cesso	intransitive
ceueo	intransitive
cieo	none
cingo	none
circulo/-or	none
circumago	none
circum-amplector	deponent
circumcido	none
circumcludo	none
circumcurso	none
circumdo	none
circumduco	none
circumeo	none
circumfero	none
circumflecto	none
circumfluo	none
circumfodio	none
circumfremo	none
circumfundo	none
circumgredior	deponent
circumiaceo	intransitive
circumicio	none
circumlatro	none
circumligo	none
circumlino	none
circummitto	none
circummugio	none
circummunio	none
circumpendeo	intransitive
circumplector/-o	none
circumpono	none
circumsaepio	none
circumscindo	none
circumscribo	none
circumsedeo	none
circumsido	none
circumsilio	none
circumsisto	none
circumsono	none
circumspecto	none
circumspicio	none
circumsto	none
circumstrepo	none
circumtero	none
circumuado	none
circumuallo	none
circumuector/-o	none
circumuehor	deponent
circumuenio	none
circumuolito	none
circumuolo	none
circumuoluo	none
cito	none
clamito	none
clamo	none
claresco	intransitive
claro	none
claudo	none
claudo/-or	none
clepo	none
clipeo	none
