cell_underspecified	cells
prf.pass.ptcp.acc.m/n.sg	prf.pass.ptcp.acc.m.sg,prf.pass.ptcp.acc.n.sg
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.pass.ptcp.abl.m/n.sg	prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
prf.pass.ptcp.abl.f/m/n.pl	prf.pass.ptcp.abl.f.pl,prf.pass.ptcp.abl.m.pl,prf.pass.ptcp.abl.n.pl
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.pass.ptcp.abl.m/n.sg	prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
prf.pass.ptcp.abl.m/n.sg	prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
prf.pass.ptcp.acc.m/n.sg	prf.pass.ptcp.acc.m.sg,prf.pass.ptcp.acc.n.sg
prf.pass.ptcp.abl.f/m/n.pl	prf.pass.ptcp.abl.f.pl,prf.pass.ptcp.abl.m.pl,prf.pass.ptcp.abl.n.pl
prs.act.ptcp.nom.f/m/n.sg	prs.act.ptcp.nom.f.sg,prs.act.ptcp.nom.m.sg,prs.act.ptcp.nom.n.sg
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.pass.ptcp.dat.f/m/n.pl	prf.pass.ptcp.dat.f.pl,prf.pass.ptcp.dat.m.pl,prf.pass.ptcp.dat.n.pl
prf.pass.ptcp.acc.m/n.sg	prf.pass.ptcp.acc.m.sg,prf.pass.ptcp.acc.n.sg
prs.act.ptcp.nom.f/m/n.sg	prs.act.ptcp.nom.f.sg,prs.act.ptcp.nom.m.sg,prs.act.ptcp.nom.n.sg
prf.pass.ptcp.abl.f/m/n.pl	prf.pass.ptcp.abl.f.pl,prf.pass.ptcp.abl.m.pl,prf.pass.ptcp.abl.n.pl
prs.act.ptcp.nom.f/m/n.sg	prs.act.ptcp.nom.f.sg,prs.act.ptcp.nom.m.sg,prs.act.ptcp.nom.n.sg
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prs.act.ptcp.acc.f/m.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg
prs.act.ptcp.abl.f/m/n.sg	prs.act.ptcp.abl.f.sg,prs.act.ptcp.abl.m.sg,prs.act.ptcp.abl.n.sg
prs.act.ptcp.nom.f/m/n.sg	prs.act.ptcp.nom.f.sg,prs.act.ptcp.nom.m.sg,prs.act.ptcp.nom.n.sg
prs.act.ptcp.acc.f/m.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg
gdv.acc.m/n.sg	gdv.acc.m.sg,gdv.acc.n.sg
prf.pass.ptcp.abl.m/n.sg	prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
gdv.abl.f/m/n.pl	gdv.abl.f.pl,gdv.abl.m.pl,gdv.abl.n.pl
prf.pass.ptcp.acc.m/n.sg	prf.pass.ptcp.acc.m.sg,prf.pass.ptcp.acc.n.sg
prs.act.ptcp.dat.f/m/n.sg	prs.act.ptcp.dat.f.sg,prs.act.ptcp.dat.m.sg,prs.act.ptcp.dat.n.sg
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.pass.ptcp.acc.m/n.sg	prf.pass.ptcp.acc.m.sg,prf.pass.ptcp.acc.n.sg
prs.act.ptcp.nom.f/m/n.sg	prs.act.ptcp.nom.f.sg,prs.act.ptcp.nom.m.sg,prs.act.ptcp.nom.n.sg
prs.act.ptcp.acc.f/m.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prs.act.ptcp.acc.f/m.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg
prf.pass.ptcp.abl.f/m/n.pl	prf.pass.ptcp.abl.f.pl,prf.pass.ptcp.abl.m.pl,prf.pass.ptcp.abl.n.pl
prs.act.ptcp.gen.f/m/n.sg	prs.act.ptcp.gen.f.sg,prs.act.ptcp.gen.m.sg,prs.act.ptcp.gen.n.sg
prf.pass.ptcp.abl.f/m/n.pl	prf.pass.ptcp.abl.f.pl,prf.pass.ptcp.abl.m.pl,prf.pass.ptcp.abl.n.pl
prs.act.ptcp.nom.f/m.pl	prs.act.ptcp.nom.f.pl,prs.act.ptcp.nom.m.pl
prs.act.ptcp.acc.f/m.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg
prf.pass.ptcp.abl.m/n.sg	prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
prs.act.ptcp.acc.f/m.pl	prs.act.ptcp.acc.f.pl,prs.act.ptcp.acc.m.pl
prs.act.ptcp.nom.f/m/n.sg	prs.act.ptcp.nom.f.sg,prs.act.ptcp.nom.m.sg,prs.act.ptcp.nom.n.sg
prs.act.ptcp.gen.f/m/n.pl	prs.act.ptcp.gen.f.pl,prs.act.ptcp.gen.m.pl,prs.act.ptcp.gen.n.pl
prs.act.ptcp.dat.f/m/n.pl	prs.act.ptcp.dat.f.pl,prs.act.ptcp.dat.m.pl,prs.act.ptcp.dat.n.pl
prs.act.ptcp.abl.f/m/n.pl	prs.act.ptcp.abl.f.pl,prs.act.ptcp.abl.m.pl,prs.act.ptcp.abl.n.pl
prs.act.ptcp.abl.f/m/n.sg	prs.act.ptcp.abl.f.sg,prs.act.ptcp.abl.m.sg,prs.act.ptcp.abl.n.sg
gdv.acc.m/n.sg	gdv.acc.m.sg,gdv.acc.n.sg
gdv.acc.m/n.sg	gdv.acc.m.sg,gdv.acc.n.sg
prs.act.ptcp.acc.f/m.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg
